Region,County,First Dose,Series Complete,Report as of
Central New York,Madison,54623,51109,10/27/22
Finger Lakes,Monroe,586877,545058,10/27/22
Mohawk Valley,Montgomery,35476,33474,10/27/22
Long Island,Nassau,1252317,1141019,10/27/22
New York City,New York,1627804,1394887,10/27/22
Western New York,Niagara,151032,141908,10/27/22
Mohawk Valley,Oneida,156413,145353,10/27/22
Central New York,Onondaga,369372,339209,10/27/22
Finger Lakes,Ontario,85547,80153,10/27/22
Mid-Hudson,Orange,264809,241069,10/27/22
Finger Lakes,Orleans,24461,22994,10/27/22
Central New York,Oswego,79639,74943,10/27/22
Mohawk Valley,Otsego,40590,37896,10/27/22
Mid-Hudson,Putnam,83214,74729,10/27/22
New York City,Queens,2205670,1982133,10/27/22
Capital Region,Rensselaer,119459,110588,10/27/22
New York City,Richmond,392037,359476,10/27/22
Mid-Hudson,Rockland,233331,209963,10/27/22
Capital Region,Saratoga,188435,175768,10/27/22
Capital Region,Schenectady,136417,126070,10/27/22
Mohawk Valley,Schoharie,19446,18436,10/27/22
Southern Tier,Schuyler,11271,10435,10/27/22
Finger Lakes,Seneca,19674,18419,10/27/22
North Country,St. Lawrence,74357,69350,10/27/22
Southern Tier,Steuben,56251,52839,10/27/22
Long Island,Suffolk,1239602,1128061,10/27/22
Mid-Hudson,Sullivan,51276,46521,10/27/22
Southern Tier,Tioga,25712,24336,10/27/22
Southern Tier,Tompkins,88576,80379,10/27/22
Mid-Hudson,Ulster,148225,135618,10/27/22
Capital Region,Warren,52416,49333,10/27/22
Capital Region,Washington,41902,39754,10/27/22
Finger Lakes,Wayne,65738,61871,10/27/22
Mid-Hudson,Westchester,883187,793045,10/27/22
Finger Lakes,Wyoming,23481,22202,10/27/22
Finger Lakes,Yates,14725,13718,10/27/22
Capital Region,Albany,254430,231456,10/26/22
Western New York,Allegany,23609,22049,10/26/22
New York City,Bronx,1223988,1087293,10/26/22
Southern Tier,Broome,135679,126382,10/26/22
Western New York,Cattaraugus,44110,40943,10/26/22
Central New York,Cayuga,49961,46677,10/26/22
Western New York,Chautauqua,82012,75510,10/26/22
Southern Tier,Chemung,49544,46558,10/26/22
Southern Tier,Chenango,31458,29642,10/26/22
North Country,Clinton,59377,55786,10/26/22
Capital Region,Columbia,46058,42062,10/26/22
Central New York,Cortland,29826,28133,10/26/22
Southern Tier,Delaware,26698,24763,10/26/22
Mid-Hudson,Dutchess,231223,208463,10/26/22
Western New York,Erie,717479,665133,10/26/22
North Country,Essex,27923,26002,10/26/22
North Country,Franklin,31317,29262,10/26/22
Mohawk Valley,Fulton,30266,28511,10/26/22
Finger Lakes,Genesee,37892,35717,10/26/22
Capital Region,Greene,32400,29498,10/26/22
North Country,Hamilton,3547,3296,10/26/22
Mohawk Valley,Herkimer,37028,34769,10/26/22
North Country,Jefferson,75834,63585,10/26/22
New York City,Kings,2094386,1882354,10/26/22
North Country,Lewis,14505,13823,10/26/22
Finger Lakes,Livingston,40531,38361,10/26/22
Central New York,Madison,54620,51108,10/26/22
Finger Lakes,Monroe,586814,545028,10/26/22
Mohawk Valley,Montgomery,35475,33472,10/26/22
Long Island,Nassau,1252227,1140949,10/26/22
New York City,New York,1627630,1394725,10/26/22
Western New York,Niagara,151023,141903,10/26/22
Mohawk Valley,Oneida,156398,145347,10/26/22
Central New York,Onondaga,369348,339170,10/26/22
Finger Lakes,Ontario,85542,80153,10/26/22
Mid-Hudson,Orange,264782,241048,10/26/22
Finger Lakes,Orleans,24460,22994,10/26/22
Central New York,Oswego,79630,74934,10/26/22
Mohawk Valley,Otsego,40588,37895,10/26/22
Mid-Hudson,Putnam,83210,74723,10/26/22
New York City,Queens,2205481,1982003,10/26/22
Capital Region,Rensselaer,119454,110583,10/26/22
New York City,Richmond,392010,359462,10/26/22
Mid-Hudson,Rockland,233278,209933,10/26/22
Capital Region,Saratoga,188420,175756,10/26/22
Capital Region,Schenectady,136411,126066,10/26/22
Mohawk Valley,Schoharie,19446,18436,10/26/22
Southern Tier,Schuyler,11270,10434,10/26/22
Finger Lakes,Seneca,19674,18417,10/26/22
North Country,St. Lawrence,74346,69347,10/26/22
Southern Tier,Steuben,56247,52835,10/26/22
Long Island,Suffolk,1239538,1128009,10/26/22
Mid-Hudson,Sullivan,51272,46520,10/26/22
Southern Tier,Tioga,25712,24336,10/26/22
Southern Tier,Tompkins,88560,80366,10/26/22
Mid-Hudson,Ulster,148215,135613,10/26/22
Capital Region,Warren,52414,49333,10/26/22
Capital Region,Washington,41898,39752,10/26/22
Finger Lakes,Wayne,65732,61864,10/26/22
Mid-Hudson,Westchester,883065,792952,10/26/22
Finger Lakes,Wyoming,23480,22199,10/26/22
Finger Lakes,Yates,14725,13717,10/26/22
Capital Region,Albany,254389,231439,10/25/22
Western New York,Allegany,23608,22049,10/25/22
New York City,Bronx,1223834,1087175,10/25/22
Southern Tier,Broome,135676,126378,10/25/22
Western New York,Cattaraugus,44106,40943,10/25/22
Central New York,Cayuga,49960,46676,10/25/22
Western New York,Chautauqua,82007,75508,10/25/22
Southern Tier,Chemung,49538,46556,10/25/22
Southern Tier,Chenango,31458,29641,10/25/22
North Country,Clinton,59375,55782,10/25/22
Capital Region,Columbia,46057,42059,10/25/22
Central New York,Cortland,29824,28133,10/25/22
Southern Tier,Delaware,26697,24763,10/25/22
Mid-Hudson,Dutchess,231212,208456,10/25/22
Western New York,Erie,717438,665087,10/25/22
North Country,Essex,27922,26002,10/25/22
North Country,Franklin,31316,29261,10/25/22
Mohawk Valley,Fulton,30266,28510,10/25/22
Finger Lakes,Genesee,37886,35714,10/25/22
Capital Region,Greene,32398,29498,10/25/22
North Country,Hamilton,3546,3296,10/25/22
Mohawk Valley,Herkimer,37026,34769,10/25/22
North Country,Jefferson,75824,63580,10/25/22
New York City,Kings,2094205,1882230,10/25/22
North Country,Lewis,14504,13821,10/25/22
Finger Lakes,Livingston,40527,38361,10/25/22
Central New York,Madison,54618,51108,10/25/22
Finger Lakes,Monroe,586736,544985,10/25/22
Mohawk Valley,Montgomery,35475,33471,10/25/22
Long Island,Nassau,1252141,1140887,10/25/22
New York City,New York,1627449,1394606,10/25/22
Western New York,Niagara,151014,141897,10/25/22
Mohawk Valley,Oneida,156385,145336,10/25/22
Central New York,Onondaga,369317,339136,10/25/22
Finger Lakes,Ontario,85532,80151,10/25/22
Mid-Hudson,Orange,264765,241037,10/25/22
Finger Lakes,Orleans,24457,22993,10/25/22
Central New York,Oswego,79624,74928,10/25/22
Mohawk Valley,Otsego,40586,37894,10/25/22
Mid-Hudson,Putnam,83203,74721,10/25/22
New York City,Queens,2205323,1981892,10/25/22
Capital Region,Rensselaer,119440,110576,10/25/22
New York City,Richmond,391985,359443,10/25/22
Mid-Hudson,Rockland,233271,209927,10/25/22
Capital Region,Saratoga,188408,175744,10/25/22
Capital Region,Schenectady,136403,126060,10/25/22
Mohawk Valley,Schoharie,19443,18434,10/25/22
Southern Tier,Schuyler,11269,10433,10/25/22
Finger Lakes,Seneca,19674,18415,10/25/22
North Country,St. Lawrence,74344,69347,10/25/22
Southern Tier,Steuben,56241,52834,10/25/22
Long Island,Suffolk,1239470,1127957,10/25/22
Mid-Hudson,Sullivan,51272,46520,10/25/22
Southern Tier,Tioga,25712,24335,10/25/22
Southern Tier,Tompkins,88553,80363,10/25/22
Mid-Hudson,Ulster,148203,135610,10/25/22
Capital Region,Warren,52412,49330,10/25/22
Capital Region,Washington,41896,39750,10/25/22
Finger Lakes,Wayne,65729,61861,10/25/22
Mid-Hudson,Westchester,882990,792888,10/25/22
Finger Lakes,Wyoming,23480,22199,10/25/22
Finger Lakes,Yates,14724,13717,10/25/22
Capital Region,Albany,254377,231420,10/24/22
Western New York,Allegany,23606,22049,10/24/22
New York City,Bronx,1223661,1087054,10/24/22
Southern Tier,Broome,135671,126372,10/24/22
Western New York,Cattaraugus,44102,40941,10/24/22
Central New York,Cayuga,49959,46675,10/24/22
Western New York,Chautauqua,82006,75506,10/24/22
Southern Tier,Chemung,49536,46556,10/24/22
Southern Tier,Chenango,31456,29641,10/24/22
North Country,Clinton,59372,55779,10/24/22
Capital Region,Columbia,46053,42056,10/24/22
Central New York,Cortland,29824,28132,10/24/22
Southern Tier,Delaware,26696,24762,10/24/22
Mid-Hudson,Dutchess,231195,208443,10/24/22
Western New York,Erie,717382,665046,10/24/22
North Country,Essex,27922,26002,10/24/22
North Country,Franklin,31314,29260,10/24/22
Mohawk Valley,Fulton,30266,28510,10/24/22
Finger Lakes,Genesee,37882,35707,10/24/22
Capital Region,Greene,32398,29498,10/24/22
North Country,Hamilton,3546,3296,10/24/22
Mohawk Valley,Herkimer,37022,34764,10/24/22
North Country,Jefferson,75820,63574,10/24/22
New York City,Kings,2094014,1882097,10/24/22
North Country,Lewis,14500,13817,10/24/22
Finger Lakes,Livingston,40525,38359,10/24/22
Central New York,Madison,54615,51104,10/24/22
Finger Lakes,Monroe,586649,544950,10/24/22
Mohawk Valley,Montgomery,35471,33471,10/24/22
Long Island,Nassau,1252066,1140838,10/24/22
New York City,New York,1627281,1394500,10/24/22
Western New York,Niagara,151008,141894,10/24/22
Mohawk Valley,Oneida,156377,145331,10/24/22
Central New York,Onondaga,369287,339103,10/24/22
Finger Lakes,Ontario,85527,80149,10/24/22
Mid-Hudson,Orange,264752,241025,10/24/22
Finger Lakes,Orleans,24451,22991,10/24/22
Central New York,Oswego,79619,74927,10/24/22
Mohawk Valley,Otsego,40582,37891,10/24/22
Mid-Hudson,Putnam,83200,74717,10/24/22
New York City,Queens,2205169,1981779,10/24/22
Capital Region,Rensselaer,119433,110569,10/24/22
New York City,Richmond,391973,359417,10/24/22
Mid-Hudson,Rockland,233250,209907,10/24/22
Capital Region,Saratoga,188394,175734,10/24/22
Capital Region,Schenectady,136395,126055,10/24/22
Mohawk Valley,Schoharie,19443,18433,10/24/22
Southern Tier,Schuyler,11269,10433,10/24/22
Finger Lakes,Seneca,19670,18413,10/24/22
North Country,St. Lawrence,74342,69347,10/24/22
Southern Tier,Steuben,56238,52830,10/24/22
Long Island,Suffolk,1239375,1127887,10/24/22
Mid-Hudson,Sullivan,51270,46518,10/24/22
Southern Tier,Tioga,25712,24335,10/24/22
Southern Tier,Tompkins,88545,80354,10/24/22
Mid-Hudson,Ulster,148185,135603,10/24/22
Capital Region,Warren,52410,49329,10/24/22
Capital Region,Washington,41895,39748,10/24/22
Finger Lakes,Wayne,65722,61858,10/24/22
Mid-Hudson,Westchester,882908,792826,10/24/22
Finger Lakes,Wyoming,23479,22197,10/24/22
Finger Lakes,Yates,14724,13717,10/24/22
Capital Region,Albany,254362,231409,10/23/22
Western New York,Allegany,23605,22049,10/23/22
New York City,Bronx,1223523,1086951,10/23/22
Southern Tier,Broome,135667,126365,10/23/22
Western New York,Cattaraugus,44101,40941,10/23/22
Central New York,Cayuga,49959,46675,10/23/22
Western New York,Chautauqua,82004,75506,10/23/22
Southern Tier,Chemung,49531,46555,10/23/22
Southern Tier,Chenango,31455,29640,10/23/22
North Country,Clinton,59369,55775,10/23/22
Capital Region,Columbia,46049,42055,10/23/22
Central New York,Cortland,29824,28129,10/23/22
Southern Tier,Delaware,26696,24762,10/23/22
Mid-Hudson,Dutchess,231163,208418,10/23/22
Western New York,Erie,717308,664997,10/23/22
North Country,Essex,27915,25997,10/23/22
North Country,Franklin,31311,29259,10/23/22
Mohawk Valley,Fulton,30265,28509,10/23/22
Finger Lakes,Genesee,37872,35700,10/23/22
Capital Region,Greene,32395,29497,10/23/22
North Country,Hamilton,3546,3296,10/23/22
Mohawk Valley,Herkimer,37020,34763,10/23/22
North Country,Jefferson,75817,63570,10/23/22
New York City,Kings,2093858,1881966,10/23/22
North Country,Lewis,14500,13817,10/23/22
Finger Lakes,Livingston,40524,38357,10/23/22
Central New York,Madison,54613,51104,10/23/22
Finger Lakes,Monroe,586594,544906,10/23/22
Mohawk Valley,Montgomery,35467,33469,10/23/22
Long Island,Nassau,1252014,1140786,10/23/22
New York City,New York,1627124,1394396,10/23/22
Western New York,Niagara,150997,141884,10/23/22
Mohawk Valley,Oneida,156367,145329,10/23/22
Central New York,Onondaga,369249,339081,10/23/22
Finger Lakes,Ontario,85520,80145,10/23/22
Mid-Hudson,Orange,264731,241009,10/23/22
Finger Lakes,Orleans,24451,22991,10/23/22
Central New York,Oswego,79616,74925,10/23/22
Mohawk Valley,Otsego,40582,37891,10/23/22
Mid-Hudson,Putnam,83200,74715,10/23/22
New York City,Queens,2205028,1981691,10/23/22
Capital Region,Rensselaer,119430,110566,10/23/22
New York City,Richmond,391956,359403,10/23/22
Mid-Hudson,Rockland,233242,209902,10/23/22
Capital Region,Saratoga,188388,175730,10/23/22
Capital Region,Schenectady,136381,126048,10/23/22
Mohawk Valley,Schoharie,19443,18433,10/23/22
Southern Tier,Schuyler,11268,10433,10/23/22
Finger Lakes,Seneca,19666,18411,10/23/22
North Country,St. Lawrence,74341,69347,10/23/22
Southern Tier,Steuben,56236,52828,10/23/22
Long Island,Suffolk,1239320,1127837,10/23/22
Mid-Hudson,Sullivan,51261,46511,10/23/22
Southern Tier,Tioga,25712,24334,10/23/22
Southern Tier,Tompkins,88543,80350,10/23/22
Mid-Hudson,Ulster,148175,135601,10/23/22
Capital Region,Warren,52403,49327,10/23/22
Capital Region,Washington,41895,39748,10/23/22
Finger Lakes,Wayne,65721,61854,10/23/22
Mid-Hudson,Westchester,882822,792769,10/23/22
Finger Lakes,Wyoming,23477,22197,10/23/22
Finger Lakes,Yates,14724,13717,10/23/22
Capital Region,Albany,254353,231408,10/22/22
Western New York,Allegany,23604,22049,10/22/22
New York City,Bronx,1223511,1086940,10/22/22
Southern Tier,Broome,135665,126364,10/22/22
Western New York,Cattaraugus,44101,40941,10/22/22
Central New York,Cayuga,49958,46674,10/22/22
Western New York,Chautauqua,82003,75505,10/22/22
Southern Tier,Chemung,49530,46553,10/22/22
Southern Tier,Chenango,31455,29640,10/22/22
North Country,Clinton,59369,55775,10/22/22
Capital Region,Columbia,46048,42055,10/22/22
Central New York,Cortland,29824,28129,10/22/22
Southern Tier,Delaware,26696,24762,10/22/22
Mid-Hudson,Dutchess,231159,208417,10/22/22
Western New York,Erie,717289,664985,10/22/22
North Country,Essex,27913,25997,10/22/22
North Country,Franklin,31311,29259,10/22/22
Mohawk Valley,Fulton,30265,28509,10/22/22
Finger Lakes,Genesee,37872,35700,10/22/22
Capital Region,Greene,32394,29497,10/22/22
North Country,Hamilton,3546,3296,10/22/22
Mohawk Valley,Herkimer,37020,34763,10/22/22
North Country,Jefferson,75817,63569,10/22/22
New York City,Kings,2093791,1881932,10/22/22
North Country,Lewis,14500,13817,10/22/22
Finger Lakes,Livingston,40524,38357,10/22/22
Central New York,Madison,54613,51104,10/22/22
Finger Lakes,Monroe,586588,544895,10/22/22
Mohawk Valley,Montgomery,35467,33467,10/22/22
Long Island,Nassau,1251993,1140761,10/22/22
New York City,New York,1627113,1394374,10/22/22
Western New York,Niagara,150996,141879,10/22/22
Mohawk Valley,Oneida,156366,145327,10/22/22
Central New York,Onondaga,369243,339078,10/22/22
Finger Lakes,Ontario,85519,80144,10/22/22
Mid-Hudson,Orange,264726,241003,10/22/22
Finger Lakes,Orleans,24451,22991,10/22/22
Central New York,Oswego,79616,74925,10/22/22
Mohawk Valley,Otsego,40580,37890,10/22/22
Mid-Hudson,Putnam,83200,74713,10/22/22
New York City,Queens,2204986,1981671,10/22/22
Capital Region,Rensselaer,119425,110562,10/22/22
New York City,Richmond,391950,359396,10/22/22
Mid-Hudson,Rockland,233239,209902,10/22/22
Capital Region,Saratoga,188388,175730,10/22/22
Capital Region,Schenectady,136375,126047,10/22/22
Mohawk Valley,Schoharie,19443,18433,10/22/22
Southern Tier,Schuyler,11268,10433,10/22/22
Finger Lakes,Seneca,19666,18411,10/22/22
North Country,St. Lawrence,74341,69347,10/22/22
Southern Tier,Steuben,56236,52828,10/22/22
Long Island,Suffolk,1239299,1127820,10/22/22
Mid-Hudson,Sullivan,51261,46510,10/22/22
Southern Tier,Tioga,25712,24334,10/22/22
Southern Tier,Tompkins,88542,80350,10/22/22
Mid-Hudson,Ulster,148171,135599,10/22/22
Capital Region,Warren,52403,49326,10/22/22
Capital Region,Washington,41895,39748,10/22/22
Finger Lakes,Wayne,65719,61854,10/22/22
Mid-Hudson,Westchester,882803,792761,10/22/22
Finger Lakes,Wyoming,23477,22197,10/22/22
Finger Lakes,Yates,14724,13717,10/22/22
Capital Region,Albany,254344,231398,10/21/22
Western New York,Allegany,23603,22049,10/21/22
New York City,Bronx,1223468,1086902,10/21/22
Southern Tier,Broome,135663,126363,10/21/22
Western New York,Cattaraugus,44100,40940,10/21/22
Central New York,Cayuga,49958,46674,10/21/22
Western New York,Chautauqua,82000,75503,10/21/22
Southern Tier,Chemung,49529,46553,10/21/22
Southern Tier,Chenango,31454,29640,10/21/22
North Country,Clinton,59368,55775,10/21/22
Capital Region,Columbia,46047,42055,10/21/22
Central New York,Cortland,29815,28129,10/21/22
Southern Tier,Delaware,26696,24760,10/21/22
Mid-Hudson,Dutchess,231149,208411,10/21/22
Western New York,Erie,717277,664972,10/21/22
North Country,Essex,27913,25997,10/21/22
North Country,Franklin,31311,29259,10/21/22
Mohawk Valley,Fulton,30263,28507,10/21/22
Finger Lakes,Genesee,37871,35700,10/21/22
Capital Region,Greene,32394,29497,10/21/22
North Country,Hamilton,3545,3296,10/21/22
Mohawk Valley,Herkimer,37019,34763,10/21/22
North Country,Jefferson,75814,63569,10/21/22
New York City,Kings,2093719,1881852,10/21/22
North Country,Lewis,14500,13817,10/21/22
Finger Lakes,Livingston,40524,38357,10/21/22
Central New York,Madison,54612,51102,10/21/22
Finger Lakes,Monroe,586578,544871,10/21/22
Mohawk Valley,Montgomery,35467,33467,10/21/22
Long Island,Nassau,1251955,1140730,10/21/22
New York City,New York,1627064,1394332,10/21/22
Western New York,Niagara,150993,141877,10/21/22
Mohawk Valley,Oneida,156364,145323,10/21/22
Central New York,Onondaga,369237,339071,10/21/22
Finger Lakes,Ontario,85515,80144,10/21/22
Mid-Hudson,Orange,264721,240997,10/21/22
Finger Lakes,Orleans,24450,22991,10/21/22
Central New York,Oswego,79616,74924,10/21/22
Mohawk Valley,Otsego,40573,37887,10/21/22
Mid-Hudson,Putnam,83197,74711,10/21/22
New York City,Queens,2204913,1981613,10/21/22
Capital Region,Rensselaer,119421,110559,10/21/22
New York City,Richmond,391931,359379,10/21/22
Mid-Hudson,Rockland,233232,209896,10/21/22
Capital Region,Saratoga,188388,175728,10/21/22
Capital Region,Schenectady,136372,126044,10/21/22
Mohawk Valley,Schoharie,19442,18432,10/21/22
Southern Tier,Schuyler,11267,10432,10/21/22
Finger Lakes,Seneca,19665,18411,10/21/22
North Country,St. Lawrence,74338,69347,10/21/22
Southern Tier,Steuben,56236,52828,10/21/22
Long Island,Suffolk,1239272,1127798,10/21/22
Mid-Hudson,Sullivan,51261,46508,10/21/22
Southern Tier,Tioga,25711,24334,10/21/22
Southern Tier,Tompkins,88540,80350,10/21/22
Mid-Hudson,Ulster,148170,135594,10/21/22
Capital Region,Warren,52403,49326,10/21/22
Capital Region,Washington,41895,39747,10/21/22
Finger Lakes,Wayne,65719,61853,10/21/22
Mid-Hudson,Westchester,882785,792729,10/21/22
Finger Lakes,Wyoming,23477,22197,10/21/22
Finger Lakes,Yates,14723,13717,10/21/22
Capital Region,Albany,254307,231363,10/20/22
Western New York,Allegany,23602,22048,10/20/22
New York City,Bronx,1223323,1086796,10/20/22
Southern Tier,Broome,135655,126355,10/20/22
Western New York,Cattaraugus,44098,40937,10/20/22
Central New York,Cayuga,49956,46672,10/20/22
Western New York,Chautauqua,82000,75502,10/20/22
Southern Tier,Chemung,49528,46549,10/20/22
Southern Tier,Chenango,31451,29638,10/20/22
North Country,Clinton,59361,55772,10/20/22
Capital Region,Columbia,46044,42054,10/20/22
Central New York,Cortland,29812,28128,10/20/22
Southern Tier,Delaware,26694,24759,10/20/22
Mid-Hudson,Dutchess,231126,208397,10/20/22
Western New York,Erie,717208,664905,10/20/22
North Country,Essex,27911,25997,10/20/22
North Country,Franklin,31309,29251,10/20/22
Mohawk Valley,Fulton,30263,28504,10/20/22
Finger Lakes,Genesee,37859,35686,10/20/22
Capital Region,Greene,32389,29494,10/20/22
North Country,Hamilton,3545,3296,10/20/22
Mohawk Valley,Herkimer,37017,34762,10/20/22
North Country,Jefferson,75808,63565,10/20/22
New York City,Kings,2093493,1881682,10/20/22
North Country,Lewis,14500,13816,10/20/22
Finger Lakes,Livingston,40523,38357,10/20/22
Central New York,Madison,54609,51101,10/20/22
Finger Lakes,Monroe,586537,544840,10/20/22
Mohawk Valley,Montgomery,35464,33466,10/20/22
Long Island,Nassau,1251883,1140672,10/20/22
New York City,New York,1626882,1394212,10/20/22
Western New York,Niagara,150983,141870,10/20/22
Mohawk Valley,Oneida,156350,145305,10/20/22
Central New York,Onondaga,369210,339047,10/20/22
Finger Lakes,Ontario,85509,80139,10/20/22
Mid-Hudson,Orange,264706,240984,10/20/22
Finger Lakes,Orleans,24448,22989,10/20/22
Central New York,Oswego,79613,74920,10/20/22
Mohawk Valley,Otsego,40568,37883,10/20/22
Mid-Hudson,Putnam,83196,74705,10/20/22
New York City,Queens,2204742,1981494,10/20/22
Capital Region,Rensselaer,119411,110550,10/20/22
New York City,Richmond,391914,359353,10/20/22
Mid-Hudson,Rockland,233219,209890,10/20/22
Capital Region,Saratoga,188377,175717,10/20/22
Capital Region,Schenectady,136359,126039,10/20/22
Mohawk Valley,Schoharie,19441,18431,10/20/22
Southern Tier,Schuyler,11266,10432,10/20/22
Finger Lakes,Seneca,19665,18411,10/20/22
North Country,St. Lawrence,74338,69347,10/20/22
Southern Tier,Steuben,56226,52821,10/20/22
Long Island,Suffolk,1239206,1127740,10/20/22
Mid-Hudson,Sullivan,51258,46508,10/20/22
Southern Tier,Tioga,25710,24334,10/20/22
Southern Tier,Tompkins,88536,80343,10/20/22
Mid-Hudson,Ulster,148158,135593,10/20/22
Capital Region,Warren,52402,49325,10/20/22
Capital Region,Washington,41894,39747,10/20/22
Finger Lakes,Wayne,65717,61851,10/20/22
Mid-Hudson,Westchester,882695,792657,10/20/22
Finger Lakes,Wyoming,23477,22197,10/20/22
Finger Lakes,Yates,14721,13716,10/20/22
Capital Region,Albany,254283,231346,10/19/22
Western New York,Allegany,23601,22046,10/19/22
New York City,Bronx,1223167,1086671,10/19/22
Southern Tier,Broome,135642,126343,10/19/22
Western New York,Cattaraugus,44093,40934,10/19/22
Central New York,Cayuga,49952,46670,10/19/22
Western New York,Chautauqua,81994,75495,10/19/22
Southern Tier,Chemung,49523,46543,10/19/22
Southern Tier,Chenango,31449,29637,10/19/22
North Country,Clinton,59358,55770,10/19/22
Capital Region,Columbia,46043,42046,10/19/22
Central New York,Cortland,29810,28118,10/19/22
Southern Tier,Delaware,26690,24758,10/19/22
Mid-Hudson,Dutchess,231094,208383,10/19/22
Western New York,Erie,717114,664836,10/19/22
North Country,Essex,27908,25997,10/19/22
North Country,Franklin,31309,29249,10/19/22
Mohawk Valley,Fulton,30262,28503,10/19/22
Finger Lakes,Genesee,37858,35686,10/19/22
Capital Region,Greene,32388,29487,10/19/22
North Country,Hamilton,3545,3296,10/19/22
Mohawk Valley,Herkimer,37012,34759,10/19/22
North Country,Jefferson,75798,63561,10/19/22
New York City,Kings,2093294,1881537,10/19/22
North Country,Lewis,14499,13815,10/19/22
Finger Lakes,Livingston,40517,38357,10/19/22
Central New York,Madison,54606,51099,10/19/22
Finger Lakes,Monroe,586496,544809,10/19/22
Mohawk Valley,Montgomery,35463,33466,10/19/22
Long Island,Nassau,1251819,1140607,10/19/22
New York City,New York,1626704,1394085,10/19/22
Western New York,Niagara,150968,141857,10/19/22
Mohawk Valley,Oneida,156340,145291,10/19/22
Central New York,Onondaga,369183,339017,10/19/22
Finger Lakes,Ontario,85503,80132,10/19/22
Mid-Hudson,Orange,264675,240968,10/19/22
Finger Lakes,Orleans,24445,22989,10/19/22
Central New York,Oswego,79608,74913,10/19/22
Mohawk Valley,Otsego,40566,37880,10/19/22
Mid-Hudson,Putnam,83189,74697,10/19/22
New York City,Queens,2204575,1981361,10/19/22
Capital Region,Rensselaer,119404,110545,10/19/22
New York City,Richmond,391886,359332,10/19/22
Mid-Hudson,Rockland,233208,209884,10/19/22
Capital Region,Saratoga,188346,175696,10/19/22
Capital Region,Schenectady,136348,126023,10/19/22
Mohawk Valley,Schoharie,19439,18426,10/19/22
Southern Tier,Schuyler,11266,10432,10/19/22
Finger Lakes,Seneca,19664,18409,10/19/22
North Country,St. Lawrence,74332,69341,10/19/22
Southern Tier,Steuben,56221,52816,10/19/22
Long Island,Suffolk,1239136,1127682,10/19/22
Mid-Hudson,Sullivan,51257,46506,10/19/22
Southern Tier,Tioga,25707,24332,10/19/22
Southern Tier,Tompkins,88528,80334,10/19/22
Mid-Hudson,Ulster,148149,135586,10/19/22
Capital Region,Warren,52399,49323,10/19/22
Capital Region,Washington,41894,39746,10/19/22
Finger Lakes,Wayne,65710,61849,10/19/22
Mid-Hudson,Westchester,882586,792602,10/19/22
Finger Lakes,Wyoming,23477,22196,10/19/22
Finger Lakes,Yates,14721,13716,10/19/22
Capital Region,Albany,254248,231309,10/18/22
Western New York,Allegany,23601,22046,10/18/22
New York City,Bronx,1223006,1086553,10/18/22
Southern Tier,Broome,135639,126332,10/18/22
Western New York,Cattaraugus,44091,40933,10/18/22
Central New York,Cayuga,49950,46666,10/18/22
Western New York,Chautauqua,81990,75487,10/18/22
Southern Tier,Chemung,49522,46535,10/18/22
Southern Tier,Chenango,31444,29634,10/18/22
North Country,Clinton,59351,55764,10/18/22
Capital Region,Columbia,46042,42045,10/18/22
Central New York,Cortland,29808,28113,10/18/22
Southern Tier,Delaware,26689,24758,10/18/22
Mid-Hudson,Dutchess,231073,208369,10/18/22
Western New York,Erie,717062,664792,10/18/22
North Country,Essex,27906,25997,10/18/22
North Country,Franklin,31307,29247,10/18/22
Mohawk Valley,Fulton,30261,28500,10/18/22
Finger Lakes,Genesee,37858,35685,10/18/22
Capital Region,Greene,32385,29485,10/18/22
North Country,Hamilton,3544,3296,10/18/22
Mohawk Valley,Herkimer,37012,34757,10/18/22
North Country,Jefferson,75796,63559,10/18/22
New York City,Kings,2093088,1881388,10/18/22
North Country,Lewis,14499,13815,10/18/22
Finger Lakes,Livingston,40513,38356,10/18/22
Central New York,Madison,54604,51096,10/18/22
Finger Lakes,Monroe,586415,544753,10/18/22
Mohawk Valley,Montgomery,35461,33463,10/18/22
Long Island,Nassau,1251746,1140547,10/18/22
New York City,New York,1626522,1393941,10/18/22
Western New York,Niagara,150958,141850,10/18/22
Mohawk Valley,Oneida,156333,145274,10/18/22
Central New York,Onondaga,369129,338991,10/18/22
Finger Lakes,Ontario,85496,80127,10/18/22
Mid-Hudson,Orange,264655,240948,10/18/22
Finger Lakes,Orleans,24442,22988,10/18/22
Central New York,Oswego,79598,74903,10/18/22
Mohawk Valley,Otsego,40564,37878,10/18/22
Mid-Hudson,Putnam,83187,74696,10/18/22
New York City,Queens,2204399,1981228,10/18/22
Capital Region,Rensselaer,119398,110536,10/18/22
New York City,Richmond,391864,359301,10/18/22
Mid-Hudson,Rockland,233195,209867,10/18/22
Capital Region,Saratoga,188336,175686,10/18/22
Capital Region,Schenectady,136338,126017,10/18/22
Mohawk Valley,Schoharie,19439,18423,10/18/22
Southern Tier,Schuyler,11265,10430,10/18/22
Finger Lakes,Seneca,19664,18405,10/18/22
North Country,St. Lawrence,74330,69337,10/18/22
Southern Tier,Steuben,56215,52814,10/18/22
Long Island,Suffolk,1239043,1127608,10/18/22
Mid-Hudson,Sullivan,51256,46503,10/18/22
