Report Date,County,Place of Fatality,Deaths by County of Residence
12/13/21,Chenango,62,98
12/13/21,Clinton,73,52
12/13/21,Columbia,122,118
12/13/21,Cortland,79,90
12/13/21,Delaware,23,55
12/13/21,Dutchess,560,521
12/13/21,Erie,2393,2151
12/13/21,Essex,33,44
12/13/21,Franklin,18,28
12/13/21,Fulton,80,121
12/13/21,Genesee,133,150
12/13/21,Greene,30,92
12/13/21,Hamilton,0,3
12/13/21,Herkimer,58,148
12/13/21,Jefferson,102,113
12/13/21,Kings,6919,7682
12/13/21,Lewis,13,40
12/13/21,Livingston,60,84
12/13/21,Madison,100,113
12/13/21,Manhattan,5182,3162
12/13/21,Monroe,1480,1283
12/13/21,Montgomery,139,169
12/13/21,Nassau,4084,3352
12/13/21,Niagara,284,442
12/13/21,Non-NYS,0,351
12/13/21,Oneida,692,669
12/13/21,Onondaga,1019,841
12/13/21,Ontario,162,126
12/13/21,Orange,858,812
12/13/21,Orleans,51,100
12/13/21,Oswego,83,138
12/13/21,Otsego,107,70
12/13/21,Putnam,94,101
12/13/21,Queens,5920,7294
12/13/21,Rensselaer,170,203
12/13/21,Richmond,1205,1228
12/13/21,Rockland,749,786
12/13/21,Saratoga,179,248
12/13/21,Schenectady,247,256
12/13/21,Schoharie,6,27
12/13/21,Schuyler,5,22
12/13/21,Seneca,33,73
12/13/21,St. Lawrence,139,151
12/13/21,Statewide Total,47242,47242
12/13/21,Steuben,164,204
12/13/21,Suffolk,3744,3721
12/13/21,Sullivan,79,92
12/13/21,Tioga,40,76
12/13/21,Tompkins,73,66
12/13/21,Ulster,170,302
12/13/21,Warren,154,101
12/13/21,Washington,36,86
12/13/21,Wayne,66,112
12/13/21,Westchester,2574,2364
12/13/21,Wyoming,56,71
12/13/21,Yates,24,34
12/12/21,Albany,729,423
12/12/21,Allegany,72,126
12/12/21,Bronx,4275,4726
12/12/21,Broome,520,447
12/12/21,Cattaraugus,180,171
12/12/21,Cayuga,90,116
12/12/21,Chautauqua,205,208
12/12/21,Chemung,239,182
12/12/21,Chenango,62,98
12/12/21,Clinton,70,50
12/12/21,Columbia,121,117
12/12/21,Cortland,79,90
12/12/21,Delaware,23,55
12/12/21,Dutchess,558,520
12/12/21,Erie,2385,2143
12/12/21,Essex,33,44
12/12/21,Franklin,18,27
12/12/21,Fulton,79,120
12/12/21,Genesee,133,150
12/12/21,Greene,30,92
12/12/21,Hamilton,0,3
12/12/21,Herkimer,58,148
12/12/21,Jefferson,102,112
12/12/21,Kings,6914,7677
12/12/21,Lewis,13,40
12/12/21,Livingston,59,83
12/12/21,Madison,100,113
12/12/21,Manhattan,5179,3161
12/12/21,Monroe,1478,1282
12/12/21,Montgomery,139,169
12/12/21,Nassau,4080,3350
12/12/21,Niagara,284,442
12/12/21,Non-NYS,0,349
12/12/21,Oneida,691,668
12/12/21,Onondaga,1017,839
12/12/21,Ontario,162,126
12/12/21,Orange,857,811
12/12/21,Orleans,51,100
12/12/21,Oswego,83,138
12/12/21,Otsego,107,70
12/12/21,Putnam,94,101
12/12/21,Queens,5917,7290
12/12/21,Rensselaer,168,201
12/12/21,Richmond,1204,1227
12/12/21,Rockland,748,785
12/12/21,Saratoga,177,246
12/12/21,Schenectady,247,256
12/12/21,Schoharie,6,27
12/12/21,Schuyler,5,22
12/12/21,Seneca,32,72
12/12/21,St. Lawrence,137,150
12/12/21,Statewide Total,47183,47183
12/12/21,Steuben,162,203
12/12/21,Suffolk,3741,3717
12/12/21,Sullivan,79,92
12/12/21,Tioga,40,76
12/12/21,Tompkins,73,66
12/12/21,Ulster,169,299
12/12/21,Warren,154,101
12/12/21,Washington,36,86
12/12/21,Wayne,66,112
12/12/21,Westchester,2573,2363
12/12/21,Wyoming,56,71
12/12/21,Yates,24,34
12/11/21,Albany,728,423
12/11/21,Allegany,72,126
12/11/21,Bronx,4273,4724
12/11/21,Broome,518,446
12/11/21,Cattaraugus,180,171
12/11/21,Cayuga,90,116
12/11/21,Chautauqua,202,205
12/11/21,Chemung,239,182
12/11/21,Chenango,62,98
12/11/21,Clinton,70,50
12/11/21,Columbia,120,116
12/11/21,Cortland,79,89
12/11/21,Delaware,23,55
12/11/21,Dutchess,557,519
12/11/21,Erie,2381,2139
12/11/21,Essex,33,44
12/11/21,Franklin,18,27
12/11/21,Fulton,79,119
12/11/21,Genesee,133,150
12/11/21,Greene,30,92
12/11/21,Hamilton,0,3
12/11/21,Herkimer,58,148
12/11/21,Jefferson,102,112
12/11/21,Kings,6912,7674
12/11/21,Lewis,13,40
12/11/21,Livingston,58,82
12/11/21,Madison,99,112
12/11/21,Manhattan,5176,3160
12/11/21,Monroe,1475,1280
12/11/21,Montgomery,136,168
12/11/21,Nassau,4077,3348
12/11/21,Niagara,283,441
12/11/21,Non-NYS,0,347
12/11/21,Oneida,689,666
12/11/21,Onondaga,1016,838
12/11/21,Ontario,162,126
12/11/21,Orange,856,810
12/11/21,Orleans,51,100
12/11/21,Oswego,83,138
12/11/21,Otsego,107,70
12/11/21,Putnam,94,101
12/11/21,Queens,5916,7288
12/11/21,Rensselaer,168,201
12/11/21,Richmond,1204,1227
12/11/21,Rockland,748,785
12/11/21,Saratoga,175,244
12/11/21,Schenectady,247,256
12/11/21,Schoharie,6,26
12/11/21,Schuyler,5,22
12/11/21,Seneca,31,71
12/11/21,St. Lawrence,137,150
12/11/21,Statewide Total,47135,47135
12/11/21,Steuben,161,203
12/11/21,Suffolk,3736,3712
12/11/21,Sullivan,78,91
12/11/21,Tioga,40,74
12/11/21,Tompkins,71,65
12/11/21,Ulster,169,299
12/11/21,Warren,154,101
12/11/21,Washington,36,86
12/11/21,Wayne,66,112
12/11/21,Westchester,2573,2362
12/11/21,Wyoming,56,71
12/11/21,Yates,24,34
12/10/21,Albany,727,422
12/10/21,Allegany,72,126
12/10/21,Bronx,4272,4723
12/10/21,Broome,516,444
12/10/21,Cattaraugus,180,171
12/10/21,Cayuga,90,116
12/10/21,Chautauqua,198,201
12/10/21,Chemung,239,182
12/10/21,Chenango,62,98
12/10/21,Clinton,70,50
12/10/21,Columbia,120,116
12/10/21,Cortland,79,89
12/10/21,Delaware,23,55
12/10/21,Dutchess,556,518
12/10/21,Erie,2374,2131
12/10/21,Essex,32,43
12/10/21,Franklin,18,27
12/10/21,Fulton,78,118
12/10/21,Genesee,132,149
12/10/21,Greene,30,92
12/10/21,Hamilton,0,3
12/10/21,Herkimer,57,147
12/10/21,Jefferson,102,112
12/10/21,Kings,6908,7670
12/10/21,Lewis,13,40
12/10/21,Livingston,58,81
12/10/21,Madison,98,111
12/10/21,Manhattan,5174,3158
12/10/21,Monroe,1470,1276
12/10/21,Montgomery,136,168
12/10/21,Nassau,4072,3346
12/10/21,Niagara,281,439
12/10/21,Non-NYS,0,347
12/10/21,Oneida,689,666
12/10/21,Onondaga,1015,837
12/10/21,Ontario,159,123
12/10/21,Orange,853,807
12/10/21,Orleans,50,98
12/10/21,Oswego,83,138
12/10/21,Otsego,107,70
12/10/21,Putnam,94,101
12/10/21,Queens,5915,7284
12/10/21,Rensselaer,168,201
12/10/21,Richmond,1204,1227
12/10/21,Rockland,748,785
12/10/21,Saratoga,175,243
12/10/21,Schenectady,246,256
12/10/21,Schoharie,6,26
12/10/21,Schuyler,5,22
12/10/21,Seneca,31,71
12/10/21,St. Lawrence,136,149
12/10/21,Statewide Total,47075,47075
12/10/21,Steuben,160,202
12/10/21,Suffolk,3735,3711
12/10/21,Sullivan,77,90
12/10/21,Tioga,40,74
12/10/21,Tompkins,71,65
12/10/21,Ulster,168,298
12/10/21,Warren,152,100
12/10/21,Washington,36,85
12/10/21,Wayne,66,112
12/10/21,Westchester,2571,2360
12/10/21,Wyoming,54,71
12/10/21,Yates,24,34
12/9/21,Albany,726,422
12/9/21,Allegany,72,126
12/9/21,Bronx,4270,4720
12/9/21,Broome,514,443
12/9/21,Cattaraugus,178,169
12/9/21,Cayuga,89,115
12/9/21,Chautauqua,197,200
12/9/21,Chemung,239,182
12/9/21,Chenango,62,98
12/9/21,Clinton,70,50
12/9/21,Columbia,119,116
12/9/21,Cortland,78,89
12/9/21,Delaware,23,55
12/9/21,Dutchess,555,516
12/9/21,Erie,2362,2120
12/9/21,Essex,32,43
12/9/21,Franklin,18,27
12/9/21,Fulton,77,117
12/9/21,Genesee,131,148
12/9/21,Greene,30,91
12/9/21,Hamilton,0,3
12/9/21,Herkimer,57,147
12/9/21,Jefferson,102,112
12/9/21,Kings,6906,7668
12/9/21,Lewis,13,40
12/9/21,Livingston,58,81
12/9/21,Madison,98,111
12/9/21,Manhattan,5173,3157
12/9/21,Monroe,1467,1275
12/9/21,Montgomery,135,166
12/9/21,Nassau,4069,3344
12/9/21,Niagara,277,434
12/9/21,Non-NYS,0,346
12/9/21,Oneida,689,666
12/9/21,Onondaga,1010,832
12/9/21,Ontario,157,121
12/9/21,Orange,851,806
12/9/21,Orleans,50,98
12/9/21,Oswego,83,138
12/9/21,Otsego,107,70
12/9/21,Putnam,94,101
12/9/21,Queens,5913,7281
12/9/21,Rensselaer,168,201
12/9/21,Richmond,1204,1227
12/9/21,Rockland,748,785
12/9/21,Saratoga,175,240
12/9/21,Schenectady,245,255
12/9/21,Schoharie,6,26
12/9/21,Schuyler,5,22
12/9/21,Seneca,31,71
12/9/21,St. Lawrence,136,149
12/9/21,Statewide Total,47015,47015
12/9/21,Steuben,158,199
12/9/21,Suffolk,3734,3710
12/9/21,Sullivan,77,90
12/9/21,Tioga,40,74
12/9/21,Tompkins,70,63
12/9/21,Ulster,168,298
12/9/21,Warren,149,100
12/9/21,Washington,36,85
12/9/21,Wayne,66,111
12/9/21,Westchester,2570,2360
12/9/21,Wyoming,54,71
12/9/21,Yates,24,34
12/8/21,Albany,725,422
12/8/21,Allegany,72,125
12/8/21,Bronx,4269,4718
12/8/21,Broome,512,441
12/8/21,Cattaraugus,176,167
12/8/21,Cayuga,89,115
12/8/21,Chautauqua,194,198
12/8/21,Chemung,238,182
12/8/21,Chenango,62,98
12/8/21,Clinton,70,50
12/8/21,Columbia,119,115
12/8/21,Cortland,78,89
12/8/21,Delaware,22,54
12/8/21,Dutchess,554,515
12/8/21,Erie,2355,2113
12/8/21,Essex,31,42
12/8/21,Franklin,18,27
12/8/21,Fulton,77,117
12/8/21,Genesee,131,148
12/8/21,Greene,30,91
12/8/21,Hamilton,0,3
12/8/21,Herkimer,57,147
12/8/21,Jefferson,101,111
12/8/21,Kings,6906,7667
12/8/21,Lewis,13,40
12/8/21,Livingston,57,81
12/8/21,Madison,98,111
12/8/21,Manhattan,5172,3157
12/8/21,Monroe,1462,1271
12/8/21,Montgomery,135,166
12/8/21,Nassau,4068,3343
12/8/21,Niagara,275,432
12/8/21,Non-NYS,0,345
12/8/21,Oneida,686,663
12/8/21,Onondaga,1010,832
12/8/21,Ontario,156,121
12/8/21,Orange,849,805
12/8/21,Orleans,50,98
12/8/21,Oswego,83,138
12/8/21,Otsego,105,68
12/8/21,Putnam,94,101
12/8/21,Queens,5910,7278
12/8/21,Rensselaer,168,201
12/8/21,Richmond,1204,1227
12/8/21,Rockland,747,784
12/8/21,Saratoga,174,239
12/8/21,Schenectady,244,254
12/8/21,Schoharie,6,26
12/8/21,Schuyler,5,22
12/8/21,Seneca,31,70
12/8/21,St. Lawrence,136,149
12/8/21,Statewide Total,46959,46959
12/8/21,Steuben,157,196
12/8/21,Suffolk,3731,3707
12/8/21,Sullivan,77,90
12/8/21,Tioga,40,74
12/8/21,Tompkins,69,61
12/8/21,Ulster,167,297
12/8/21,Warren,148,100
12/8/21,Washington,36,84
12/8/21,Wayne,64,109
12/8/21,Westchester,2568,2359
12/8/21,Wyoming,54,71
12/8/21,Yates,24,34
12/7/21,Albany,722,421
12/7/21,Allegany,71,124
12/7/21,Bronx,4267,4715
12/7/21,Broome,511,441
12/7/21,Cattaraugus,175,166
12/7/21,Cayuga,89,115
12/7/21,Chautauqua,194,198
12/7/21,Chemung,237,182
12/7/21,Chenango,62,98
12/7/21,Clinton,69,50
12/7/21,Columbia,119,115
12/7/21,Cortland,78,89
12/7/21,Delaware,22,54
12/7/21,Dutchess,554,515
12/7/21,Erie,2348,2108
12/7/21,Essex,31,41
12/7/21,Franklin,18,27
12/7/21,Fulton,75,115
12/7/21,Genesee,131,147
12/7/21,Greene,30,91
12/7/21,Hamilton,0,3
12/7/21,Herkimer,57,147
12/7/21,Jefferson,98,108
12/7/21,Kings,6902,7663
12/7/21,Lewis,13,40
12/7/21,Livingston,56,80
12/7/21,Madison,98,111
12/7/21,Manhattan,5171,3157
12/7/21,Monroe,1458,1270
12/7/21,Montgomery,134,165
12/7/21,Nassau,4065,3342
12/7/21,Niagara,273,428
12/7/21,Non-NYS,0,344
12/7/21,Oneida,684,661
12/7/21,Onondaga,1009,831
12/7/21,Ontario,156,121
12/7/21,Orange,848,804
12/7/21,Orleans,50,97
12/7/21,Oswego,83,138
12/7/21,Otsego,105,68
12/7/21,Putnam,94,101
12/7/21,Queens,5909,7275
12/7/21,Rensselaer,167,200
12/7/21,Richmond,1202,1225
12/7/21,Rockland,746,783
12/7/21,Saratoga,172,236
12/7/21,Schenectady,244,253
12/7/21,Schoharie,6,26
12/7/21,Schuyler,5,20
12/7/21,Seneca,31,70
12/7/21,St. Lawrence,136,149
12/7/21,Statewide Total,46903,46903
12/7/21,Steuben,156,195
12/7/21,Suffolk,3729,3705
12/7/21,Sullivan,77,90
12/7/21,Tioga,40,74
12/7/21,Tompkins,69,61
12/7/21,Ulster,167,296
12/7/21,Warren,148,100
12/7/21,Washington,36,84
12/7/21,Wayne,63,107
12/7/21,Westchester,2565,2358
12/7/21,Wyoming,54,71
12/7/21,Yates,24,34
12/6/21,Albany,721,421
12/6/21,Allegany,71,124
12/6/21,Bronx,4266,4714
12/6/21,Broome,511,441
12/6/21,Cattaraugus,174,166
12/6/21,Cayuga,89,115
12/6/21,Chautauqua,193,197
12/6/21,Chemung,233,179
12/6/21,Chenango,62,98
12/6/21,Clinton,69,50
12/6/21,Columbia,119,115
12/6/21,Cortland,78,89
12/6/21,Delaware,22,53
12/6/21,Dutchess,553,514
12/6/21,Erie,2340,2100
12/6/21,Essex,30,40
12/6/21,Franklin,18,27
12/6/21,Fulton,75,115
12/6/21,Genesee,131,147
12/6/21,Greene,30,91
12/6/21,Hamilton,0,3
12/6/21,Herkimer,57,147
12/6/21,Jefferson,98,108
12/6/21,Kings,6900,7660
12/6/21,Lewis,13,40
12/6/21,Livingston,55,79
12/6/21,Madison,97,110
12/6/21,Manhattan,5169,3156
12/6/21,Monroe,1455,1267
12/6/21,Montgomery,134,165
12/6/21,Nassau,4065,3342
12/6/21,Niagara,273,428
12/6/21,Non-NYS,0,342
12/6/21,Oneida,684,660
12/6/21,Onondaga,1006,829
12/6/21,Ontario,156,121
12/6/21,Orange,847,803
12/6/21,Orleans,50,97
12/6/21,Oswego,83,138
12/6/21,Otsego,104,68
12/6/21,Putnam,94,101
12/6/21,Queens,5906,7272
12/6/21,Rensselaer,167,199
12/6/21,Richmond,1202,1225
12/6/21,Rockland,746,783
12/6/21,Saratoga,170,234
12/6/21,Schenectady,243,252
12/6/21,Schoharie,6,26
12/6/21,Schuyler,5,20
12/6/21,Seneca,31,70
12/6/21,St. Lawrence,135,148
12/6/21,Statewide Total,46860,46860
12/6/21,Steuben,156,195
12/6/21,Suffolk,3728,3704
12/6/21,Sullivan,77,90
12/6/21,Tioga,40,74
12/6/21,Tompkins,69,61
12/6/21,Ulster,166,295
12/6/21,Warren,147,99
12/6/21,Washington,36,84
12/6/21,Wayne,63,107
12/6/21,Westchester,2565,2358
12/6/21,Wyoming,53,70
12/6/21,Yates,24,34
12/5/21,Albany,718,421
12/5/21,Allegany,71,124
12/5/21,Bronx,4266,4714
12/5/21,Broome,510,440
12/5/21,Cattaraugus,174,165
12/5/21,Cayuga,88,114
12/5/21,Chautauqua,193,197
12/5/21,Chemung,233,179
12/5/21,Chenango,62,98
12/5/21,Clinton,66,48
12/5/21,Columbia,119,115
12/5/21,Cortland,78,89
12/5/21,Delaware,22,53
12/5/21,Dutchess,551,513
12/5/21,Erie,2331,2092
12/5/21,Essex,30,40
12/5/21,Franklin,18,27
12/5/21,Fulton,75,115
12/5/21,Genesee,130,147
12/5/21,Greene,30,91
12/5/21,Hamilton,0,3
12/5/21,Herkimer,57,146
12/5/21,Jefferson,98,108
12/5/21,Kings,6895,7655
12/5/21,Lewis,13,40
12/5/21,Livingston,55,79
12/5/21,Madison,97,110
12/5/21,Manhattan,5165,3152
12/5/21,Monroe,1452,1265
12/5/21,Montgomery,134,165
12/5/21,Nassau,4061,3341
12/5/21,Niagara,272,427
12/5/21,Non-NYS,0,342
12/5/21,Oneida,681,658
12/5/21,Onondaga,1003,826
12/5/21,Ontario,156,121
12/5/21,Orange,846,802
12/5/21,Orleans,50,96
12/5/21,Oswego,83,138
12/5/21,Otsego,104,68
12/5/21,Putnam,94,101
12/5/21,Queens,5905,7269
12/5/21,Rensselaer,166,198
12/5/21,Richmond,1202,1225
12/5/21,Rockland,746,783
12/5/21,Saratoga,169,231
12/5/21,Schenectady,240,249
12/5/21,Schoharie,6,25
12/5/21,Schuyler,5,20
12/5/21,Seneca,31,70
12/5/21,St. Lawrence,134,146
12/5/21,Statewide Total,46806,46806
12/5/21,Steuben,156,195
12/5/21,Suffolk,3726,3701
12/5/21,Sullivan,77,90
12/5/21,Tioga,40,74
12/5/21,Tompkins,69,61
12/5/21,Ulster,166,294
12/5/21,Warren,147,99
12/5/21,Washington,36,84
12/5/21,Wayne,62,105
12/5/21,Westchester,2565,2358
12/5/21,Wyoming,53,70
12/5/21,Yates,24,34
12/4/21,Albany,716,420
12/4/21,Allegany,71,123
12/4/21,Bronx,4265,4713
12/4/21,Broome,507,438
12/4/21,Cattaraugus,174,165
12/4/21,Cayuga,88,114
12/4/21,Chautauqua,193,197
12/4/21,Chemung,231,176
12/4/21,Chenango,62,97
12/4/21,Clinton,66,48
12/4/21,Columbia,119,115
12/4/21,Cortland,78,89
12/4/21,Delaware,22,53
12/4/21,Dutchess,551,513
12/4/21,Erie,2322,2084
12/4/21,Essex,28,38
12/4/21,Franklin,18,27
12/4/21,Fulton,75,115
12/4/21,Genesee,129,146
12/4/21,Greene,30,90
12/4/21,Hamilton,0,3
12/4/21,Herkimer,57,146
12/4/21,Jefferson,98,108
12/4/21,Kings,6892,7652
12/4/21,Lewis,13,40
12/4/21,Livingston,54,78
12/4/21,Madison,96,109
12/4/21,Manhattan,5165,3152
12/4/21,Monroe,1447,1262
12/4/21,Montgomery,134,165
12/4/21,Nassau,4059,3339
12/4/21,Niagara,272,426
12/4/21,Non-NYS,0,341
12/4/21,Oneida,678,655
12/4/21,Onondaga,1002,825
12/4/21,Ontario,156,121
12/4/21,Orange,845,801
12/4/21,Orleans,50,96
12/4/21,Oswego,83,138
12/4/21,Otsego,104,68
12/4/21,Putnam,94,101
12/4/21,Queens,5904,7267
12/4/21,Rensselaer,165,197
12/4/21,Richmond,1202,1225
12/4/21,Rockland,746,783
12/4/21,Saratoga,169,229
12/4/21,Schenectady,240,249
12/4/21,Schoharie,6,25
12/4/21,Schuyler,5,20
12/4/21,Seneca,31,70
12/4/21,St. Lawrence,134,146
12/4/21,Statewide Total,46756,46756
12/4/21,Steuben,156,195
12/4/21,Suffolk,3722,3698
12/4/21,Sullivan,77,90
12/4/21,Tioga,40,74
12/4/21,Tompkins,69,61
12/4/21,Ulster,166,294
12/4/21,Warren,144,98
12/4/21,Washington,35,83
12/4/21,Wayne,62,105
12/4/21,Westchester,2564,2357
12/4/21,Wyoming,51,69
12/4/21,Yates,24,34
12/3/21,Albany,714,419
12/3/21,Allegany,71,123
12/3/21,Bronx,4264,4712
12/3/21,Broome,505,437
12/3/21,Cattaraugus,174,165
12/3/21,Cayuga,88,114
12/3/21,Chautauqua,193,197
12/3/21,Chemung,231,176
12/3/21,Chenango,62,97
12/3/21,Clinton,66,48
12/3/21,Columbia,119,115
12/3/21,Cortland,78,89
12/3/21,Delaware,22,53
12/3/21,Dutchess,550,513
12/3/21,Erie,2317,2079
12/3/21,Essex,28,38
12/3/21,Franklin,18,27
12/3/21,Fulton,75,115
12/3/21,Genesee,129,146
12/3/21,Greene,30,90
12/3/21,Hamilton,0,3
12/3/21,Herkimer,57,145
12/3/21,Jefferson,98,108
12/3/21,Kings,6887,7647
12/3/21,Lewis,13,40
12/3/21,Livingston,54,77
12/3/21,Madison,96,109
12/3/21,Manhattan,5165,3152
12/3/21,Monroe,1443,1259
12/3/21,Montgomery,132,163
12/3/21,Nassau,4058,3338
12/3/21,Niagara,271,425
12/3/21,Non-NYS,0,340
12/3/21,Oneida,673,651
12/3/21,Onondaga,1001,824
12/3/21,Ontario,155,121
12/3/21,Orange,844,800
12/3/21,Orleans,50,96
12/3/21,Oswego,83,138
12/3/21,Otsego,102,66
12/3/21,Putnam,94,101
12/3/21,Queens,5903,7266
12/3/21,Rensselaer,165,197
12/3/21,Richmond,1201,1224
12/3/21,Rockland,746,783
12/3/21,Saratoga,168,228
12/3/21,Schenectady,239,248
12/3/21,Schoharie,6,24
12/3/21,Schuyler,5,20
12/3/21,Seneca,31,69
12/3/21,St. Lawrence,134,146
12/3/21,Statewide Total,46715,46715
12/3/21,Steuben,155,194
12/3/21,Suffolk,3721,3697
12/3/21,Sullivan,77,90
12/3/21,Tioga,40,74
12/3/21,Tompkins,69,61
12/3/21,Ulster,166,293
12/3/21,Warren,143,98
12/3/21,Washington,35,82
12/3/21,Wayne,62,105
12/3/21,Westchester,2564,2357
12/3/21,Wyoming,51,69
12/3/21,Yates,24,34
12/2/21,Albany,711,417
12/2/21,Allegany,71,122
12/2/21,Bronx,4261,4708
12/2/21,Broome,505,437
12/2/21,Cattaraugus,173,164
12/2/21,Cayuga,88,114
12/2/21,Chautauqua,193,197
12/2/21,Chemung,231,176
12/2/21,Chenango,62,97
12/2/21,Clinton,66,48
12/2/21,Columbia,119,115
12/2/21,Cortland,78,89
12/2/21,Delaware,22,52
12/2/21,Dutchess,550,513
12/2/21,Erie,2311,2074
12/2/21,Essex,28,38
12/2/21,Franklin,17,26
12/2/21,Fulton,75,115
12/2/21,Genesee,129,146
12/2/21,Greene,30,90
12/2/21,Hamilton,0,3
12/2/21,Herkimer,57,145
12/2/21,Jefferson,98,108
12/2/21,Kings,6883,7642
12/2/21,Lewis,13,40
12/2/21,Livingston,54,77
12/2/21,Madison,96,109
12/2/21,Manhattan,5164,3152
12/2/21,Monroe,1441,1257
12/2/21,Montgomery,132,163
12/2/21,Nassau,4056,3337
12/2/21,Niagara,269,423
12/2/21,Non-NYS,0,340
12/2/21,Oneida,670,648
12/2/21,Onondaga,1000,823
12/2/21,Ontario,155,121
12/2/21,Orange,843,800
12/2/21,Orleans,50,96
12/2/21,Oswego,83,138
12/2/21,Otsego,102,66
12/2/21,Putnam,94,101
12/2/21,Queens,5901,7263
12/2/21,Rensselaer,165,197
12/2/21,Richmond,1201,1224
12/2/21,Rockland,746,783
12/2/21,Saratoga,168,228
12/2/21,Schenectady,238,247
12/2/21,Schoharie,6,24
12/2/21,Schuyler,5,20
12/2/21,Seneca,31,69
12/2/21,St. Lawrence,134,146
12/2/21,Statewide Total,46673,46673
12/2/21,Steuben,154,193
12/2/21,Suffolk,3719,3695
12/2/21,Sullivan,77,90
12/2/21,Tioga,40,74
12/2/21,Tompkins,69,61
12/2/21,Ulster,166,293
12/2/21,Warren,139,96
12/2/21,Washington,35,80
12/2/21,Wayne,62,105
12/2/21,Westchester,2564,2357
12/2/21,Wyoming,49,67
12/2/21,Yates,24,34
12/1/21,Albany,706,416
12/1/21,Allegany,71,122
12/1/21,Bronx,4261,4708
12/1/21,Broome,503,436
12/1/21,Cattaraugus,172,163
12/1/21,Cayuga,87,113
12/1/21,Chautauqua,193,197
12/1/21,Chemung,231,176
12/1/21,Chenango,62,97
12/1/21,Clinton,66,48
12/1/21,Columbia,119,115
12/1/21,Cortland,78,89
12/1/21,Delaware,22,52
12/1/21,Dutchess,549,513
12/1/21,Erie,2300,2064
12/1/21,Essex,28,38
12/1/21,Franklin,17,26
12/1/21,Fulton,75,115
12/1/21,Genesee,128,145
12/1/21,Greene,30,90
12/1/21,Hamilton,0,3
12/1/21,Herkimer,57,143
12/1/21,Jefferson,98,108
12/1/21,Kings,6880,7639
12/1/21,Lewis,13,40
12/1/21,Livingston,54,77
12/1/21,Madison,96,109
12/1/21,Manhattan,5164,3152
12/1/21,Monroe,1441,1257
12/1/21,Montgomery,132,162
12/1/21,Nassau,4053,3336
12/1/21,Niagara,268,421
12/1/21,Non-NYS,0,340
12/1/21,Oneida,668,647
12/1/21,Onondaga,995,819
12/1/21,Ontario,152,119
12/1/21,Orange,843,799
12/1/21,Orleans,50,96
12/1/21,Oswego,81,135
12/1/21,Otsego,102,66
12/1/21,Putnam,94,101
12/1/21,Queens,5899,7259
12/1/21,Rensselaer,165,195
12/1/21,Richmond,1200,1223
12/1/21,Rockland,746,783
12/1/21,Saratoga,168,228
12/1/21,Schenectady,237,245
12/1/21,Schoharie,6,24
12/1/21,Schuyler,5,20
12/1/21,Seneca,31,68
12/1/21,St. Lawrence,132,144
12/1/21,Statewide Total,46623,46623
12/1/21,Steuben,154,193
12/1/21,Suffolk,3718,3694
12/1/21,Sullivan,77,90
12/1/21,Tioga,40,73
12/1/21,Tompkins,69,61
12/1/21,Ulster,166,293
12/1/21,Warren,139,96
12/1/21,Washington,35,80
12/1/21,Wayne,62,105
12/1/21,Westchester,2562,2356
12/1/21,Wyoming,49,67
12/1/21,Yates,24,34
11/30/21,Albany,704,414
11/30/21,Allegany,71,122
11/30/21,Bronx,4261,4708
11/30/21,Broome,502,435
11/30/21,Cattaraugus,169,159
11/30/21,Cayuga,87,113
11/30/21,Chautauqua,193,197
11/30/21,Chemung,230,175
11/30/21,Chenango,61,96
11/30/21,Clinton,66,48
11/30/21,Columbia,117,113
11/30/21,Cortland,78,89
11/30/21,Delaware,22,52
11/30/21,Dutchess,546,510
11/30/21,Erie,2294,2060
11/30/21,Essex,28,38
11/30/21,Franklin,17,26
11/30/21,Fulton,75,115
11/30/21,Genesee,128,144
11/30/21,Greene,30,89
11/30/21,Hamilton,0,3
11/30/21,Herkimer,57,143
11/30/21,Jefferson,97,106
11/30/21,Kings,6876,7635
11/30/21,Lewis,13,40
11/30/21,Livingston,54,77
11/30/21,Madison,96,109
11/30/21,Manhattan,5164,3152
11/30/21,Monroe,1439,1256
11/30/21,Montgomery,132,162
11/30/21,Nassau,4052,3335
11/30/21,Niagara,267,419
11/30/21,Non-NYS,0,340
11/30/21,Oneida,667,646
11/30/21,Onondaga,992,818
11/30/21,Ontario,152,119
11/30/21,Orange,842,798
11/30/21,Orleans,50,96
11/30/21,Oswego,81,135
11/30/21,Otsego,99,63
11/30/21,Putnam,93,101
11/30/21,Queens,5897,7257
11/30/21,Rensselaer,163,193
11/30/21,Richmond,1200,1223
11/30/21,Rockland,746,783
11/30/21,Saratoga,167,227
11/30/21,Schenectady,237,245
11/30/21,Schoharie,6,24
11/30/21,Schuyler,5,20
11/30/21,Seneca,31,68
11/30/21,St. Lawrence,131,143
11/30/21,Statewide Total,46574,46574
11/30/21,Steuben,152,191
11/30/21,Suffolk,3716,3692
11/30/21,Sullivan,77,90
11/30/21,Tioga,40,73
11/30/21,Tompkins,69,61
11/30/21,Ulster,165,292
11/30/21,Warren,139,96
11/30/21,Washington,35,80
11/30/21,Wayne,61,103
11/30/21,Westchester,2562,2356
11/30/21,Wyoming,49,67
11/30/21,Yates,24,34
11/29/21,Albany,703,413
11/29/21,Allegany,71,122
11/29/21,Bronx,4261,4707
11/29/21,Broome,500,434
11/29/21,Cattaraugus,167,157
