Report Date,County,Place of Fatality,Deaths by County of Residence
11/9/22,Schuyler,8,30
11/9/22,Seneca,38,94
11/9/22,St. Lawrence,192,212
11/9/22,Statewide Total,59038,59038
11/9/22,Steuben,212,264
11/9/22,Suffolk,4681,4682
11/9/22,Sullivan,103,143
11/9/22,Tioga,42,89
11/9/22,Tompkins,105,97
11/9/22,Ulster,215,394
11/9/22,Warren,242,142
11/9/22,Washington,42,128
11/9/22,Wayne,113,200
11/9/22,Westchester,3152,2867
11/9/22,Wyoming,72,90
11/9/22,Yates,26,41
11/8/22,Albany,1028,576
11/8/22,Allegany,95,163
11/8/22,Bronx,4933,5525
11/8/22,Broome,671,569
11/8/22,Cattaraugus,248,241
11/8/22,Cayuga,128,168
11/8/22,Chautauqua,314,325
11/8/22,Chemung,320,250
11/8/22,Chenango,76,130
11/8/22,Clinton,157,114
11/8/22,Columbia,173,160
11/8/22,Cortland,110,130
11/8/22,Delaware,28,86
11/8/22,Dutchess,758,710
11/8/22,Erie,3142,2802
11/8/22,Essex,40,71
11/8/22,Franklin,34,52
11/8/22,Fulton,107,181
11/8/22,Genesee,173,203
11/8/22,Greene,37,142
11/8/22,Hamilton,0,5
11/8/22,Herkimer,72,208
11/8/22,Jefferson,127,147
11/8/22,Kings,8393,9267
11/8/22,Lewis,21,53
11/8/22,Livingston,88,129
11/8/22,Madison,127,140
11/8/22,Manhattan,6347,3860
11/8/22,Monroe,2068,1755
11/8/22,Montgomery,199,223
11/8/22,Nassau,5014,4097
11/8/22,Niagara,402,619
11/8/22,Non-NYS,0,527
11/8/22,Oneida,877,847
11/8/22,Onondaga,1408,1147
11/8/22,Ontario,260,202
11/8/22,Orange,1113,1009
11/8/22,Orleans,59,124
11/8/22,Oswego,125,216
11/8/22,Otsego,158,99
11/8/22,Putnam,116,136
11/8/22,Queens,6999,8640
11/8/22,Rensselaer,245,297
11/8/22,Richmond,1467,1497
11/8/22,Rockland,907,941
11/8/22,Saratoga,274,381
11/8/22,Schenectady,322,342
11/8/22,Schoharie,16,41
11/8/22,Schuyler,8,30
11/8/22,Seneca,38,94
11/8/22,St. Lawrence,192,212
11/8/22,Statewide Total,59014,59014
11/8/22,Steuben,211,263
11/8/22,Suffolk,4679,4679
11/8/22,Sullivan,103,143
11/8/22,Tioga,42,89
11/8/22,Tompkins,105,97
11/8/22,Ulster,215,394
11/8/22,Warren,242,142
11/8/22,Washington,42,128
11/8/22,Wayne,113,200
11/8/22,Westchester,3150,2865
11/8/22,Wyoming,72,90
11/8/22,Yates,26,41
11/7/22,Albany,1028,576
11/7/22,Allegany,95,163
11/7/22,Bronx,4931,5523
11/7/22,Broome,671,569
11/7/22,Cattaraugus,248,241
11/7/22,Cayuga,128,168
11/7/22,Chautauqua,313,324
11/7/22,Chemung,320,250
11/7/22,Chenango,76,130
11/7/22,Clinton,157,114
11/7/22,Columbia,173,160
11/7/22,Cortland,110,130
11/7/22,Delaware,28,86
11/7/22,Dutchess,757,709
11/7/22,Erie,3142,2802
11/7/22,Essex,40,71
11/7/22,Franklin,34,52
11/7/22,Fulton,107,181
11/7/22,Genesee,173,203
11/7/22,Greene,36,141
11/7/22,Hamilton,0,5
11/7/22,Herkimer,72,208
11/7/22,Jefferson,127,147
11/7/22,Kings,8393,9267
11/7/22,Lewis,21,53
11/7/22,Livingston,88,129
11/7/22,Madison,127,140
11/7/22,Manhattan,6344,3860
11/7/22,Monroe,2068,1754
11/7/22,Montgomery,199,223
11/7/22,Nassau,5009,4094
11/7/22,Niagara,402,619
11/7/22,Non-NYS,0,527
11/7/22,Oneida,877,847
11/7/22,Onondaga,1408,1147
11/7/22,Ontario,260,202
11/7/22,Orange,1111,1008
11/7/22,Orleans,59,124
11/7/22,Oswego,125,216
11/7/22,Otsego,158,99
11/7/22,Putnam,116,136
11/7/22,Queens,6996,8635
11/7/22,Rensselaer,245,296
11/7/22,Richmond,1466,1496
11/7/22,Rockland,906,940
11/7/22,Saratoga,274,381
11/7/22,Schenectady,322,342
11/7/22,Schoharie,16,41
11/7/22,Schuyler,8,30
11/7/22,Seneca,38,94
11/7/22,St. Lawrence,192,212
11/7/22,Statewide Total,58992,58992
11/7/22,Steuben,211,263
11/7/22,Suffolk,4678,4677
11/7/22,Sullivan,103,143
11/7/22,Tioga,42,89
11/7/22,Tompkins,105,97
11/7/22,Ulster,215,393
11/7/22,Warren,242,142
11/7/22,Washington,42,128
11/7/22,Wayne,113,200
11/7/22,Westchester,3149,2864
11/7/22,Wyoming,72,90
11/7/22,Yates,26,41
11/4/22,Albany,1023,572
11/4/22,Allegany,95,163
11/4/22,Bronx,4929,5521
11/4/22,Broome,670,568
11/4/22,Cattaraugus,247,241
11/4/22,Cayuga,128,168
11/4/22,Chautauqua,313,324
11/4/22,Chemung,320,250
11/4/22,Chenango,76,130
11/4/22,Clinton,154,112
11/4/22,Columbia,172,160
11/4/22,Cortland,109,129
11/4/22,Delaware,28,86
11/4/22,Dutchess,757,709
11/4/22,Erie,3140,2799
11/4/22,Essex,40,70
11/4/22,Franklin,33,51
11/4/22,Fulton,107,181
11/4/22,Genesee,173,203
11/4/22,Greene,36,140
11/4/22,Hamilton,0,5
11/4/22,Herkimer,72,208
11/4/22,Jefferson,127,147
11/4/22,Kings,8386,9261
11/4/22,Lewis,21,53
11/4/22,Livingston,88,129
11/4/22,Madison,127,140
11/4/22,Manhattan,6338,3855
11/4/22,Monroe,2061,1748
11/4/22,Montgomery,199,223
11/4/22,Nassau,5000,4087
11/4/22,Niagara,401,618
11/4/22,Non-NYS,0,525
11/4/22,Oneida,877,847
11/4/22,Onondaga,1406,1146
